  Tick   ID   Location   Memory   Time Left     Status  Wasted
     8    2          7       60           3      READY       4
     8    3         -1       23           0   FINISHED       -
     8    4         -1       25          10    WAITING       -
     8    5          8       40           7    RUNNING       8
     8    6          2       22           3      READY       2
     8    7         -1       47           0   FINISHED       -
     8    8          5       43           1      READY       5
     8    9         -1       17           3    WAITING       -
     8   10         -1       49           4    WAITING       -
     8   11         -1       16           0   FINISHED       -
     8   12         -1       56           5    WAITING       -
     8   13          4       64           2      READY       0
     8   14         -1       21           5    WAITING       -
     8   15          9       30           5    RUNNING       2
     8   16         -1       55           6    WAITING       -
     8   17          0       32           6    RUNNING       0
     8   18          6       32           2      READY       0
     8   19          1       33           5    RUNNING      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
     9    0         -1       51           7    WAITING       -
     9    1         -1       17           3    WAITING       -
     9    2          7       60           3      READY       4
     9    3         -1       23           0   FINISHED       -
     9    4          5       25          10      READY      23
     9    5          8       40           7      READY       8
     9    6          2       22           2    RUNNING       2
     9    7         -1       47           0   FINISHED       -
     9    8         -1       43           0   FINISHED       -
     9    9         -1       17           3    WAITING       -
     9   10         -1       49           4    WAITING       -
     9   11         -1       16           0   FINISHED       -
     9   12         -1       56           5    WAITING       -
     9   13          4       64           1    RUNNING       0
     9   14         -1       21           5    WAITING       -
     9   15          9       30           5      READY       2
     9   16         -1       55           6    WAITING       -
     9   17          0       32           6      READY       0
     9   18          6       32           1    RUNNING       0
     9   19          1       33           5      READY      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    10    0         -1       51           7    WAITING       -
    10    1         -1       17           3    WAITING       -
    10    2          7       60           2    RUNNING       4
    10    3         -1       23           0   FINISHED       -
    10    4          5       25          10      READY      23
    10    5          8       40           6    RUNNING       8
    10    6          2       22           2      READY       2
    10    7         -1       47           0   FINISHED       -
    10    8         -1       43           0   FINISHED       -
    10    9         -1       17           3    WAITING       -
    10   10         -1       49           4    WAITING       -
    10   11         -1       16           0   FINISHED       -
    10   12         -1       56           5    WAITING       -
    10   13          4       64           1      READY       0
    10   14          6       21           5      READY      11
    10   15          9       30           4    RUNNING       2
    10   16         -1       55           6    WAITING       -
    10   17          0       32           6      READY       0
    10   18         -1       32           0   FINISHED       -
    10   19          1       33           5      READY      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    11    0         -1       51           7    WAITING       -
    11    1         -1       17           3    WAITING       -
    11    2          7       60           2      READY       4
    11    3         -1       23           0   FINISHED       -
    11    4          5       25          10      READY      23
    11    5          8       40           6      READY       8
    11    6          2       22           1    RUNNING       2
    11    7         -1       47           0   FINISHED       -
    11    8         -1       43           0   FINISHED       -
    11    9         -1       17           3    WAITING       -
    11   10         -1       49           4    WAITING       -
    11   11         -1       16           0   FINISHED       -
    11   12          4       56           5      READY       8
    11   13         -1       64           0   FINISHED       -
    11   14          6       21           5      READY      11
    11   15          9       30           4      READY       2
    11   16         -1       55           6    WAITING       -
    11   17          0       32           5    RUNNING       0
    11   18         -1       32           0   FINISHED       -
    11   19          1       33           4    RUNNING      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    12    0         -1       51           7    WAITING       -
    12    1         -1       17           3    WAITING       -
    12    2          7       60           1    RUNNING       4
    12    3         -1       23           0   FINISHED       -
    12    4          5       25           9    RUNNING      23
    12    5          8       40           6      READY       8
    12    6          2       22           1      READY       2
    12    7         -1       47           0   FINISHED       -
    12    8         -1       43           0   FINISHED       -
    12    9         -1       17           3    WAITING       -
    12   10         -1       49           4    WAITING       -
    12   11         -1       16           0   FINISHED       -
    12   12          4       56           4    RUNNING       8
    12   13         -1       64           0   FINISHED       -
    12   14          6       21           4    RUNNING      11
    12   15          9       30           4      READY       2
    12   16         -1       55           6    WAITING       -
    12   17          0       32           5      READY       0
    12   18         -1       32           0   FINISHED       -
    12   19          1       33           4      READY      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    13    0         -1       51           7    WAITING       -
    13    1         -1       17           3    WAITING       -
    13    2          7       60           1      READY       4
    13    3         -1       23           0   FINISHED       -
    13    4          5       25           9      READY      23
    13    5          8       40           5    RUNNING       8
    13    6          2       22           1      READY       2
    13    7         -1       47           0   FINISHED       -
    13    8         -1       43           0   FINISHED       -
    13    9         -1       17           3    WAITING       -
    13   10         -1       49           4    WAITING       -
    13   11         -1       16           0   FINISHED       -
    13   12          4       56           4      READY       8
    13   13         -1       64           0   FINISHED       -
    13   14          6       21           4      READY      11
    13   15          9       30           3    RUNNING       2
    13   16         -1       55           6    WAITING       -
    13   17          0       32           4    RUNNING       0
    13   18         -1       32           0   FINISHED       -
    13   19          1       33           3    RUNNING      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    14    0         -1       51           7    WAITING       -
    14    1         -1       17           3    WAITING       -
    14    2          7       60           1      READY       4
    14    3         -1       23           0   FINISHED       -
    14    4          5       25           8    RUNNING      23
    14    5          8       40           5      READY       8
    14    6         -1       22           0   FINISHED       -
    14    7         -1       47           0   FINISHED       -
    14    8         -1       43           0   FINISHED       -
    14    9          2       17           3      READY       7
    14   10         -1       49           4    WAITING       -
    14   11         -1       16           0   FINISHED       -
    14   12          4       56           3    RUNNING       8
    14   13         -1       64           0   FINISHED       -
    14   14          6       21           3    RUNNING      11
    14   15          9       30           3      READY       2
    14   16         -1       55           6    WAITING       -
    14   17          0       32           4      READY       0
    14   18         -1       32           0   FINISHED       -
    14   19          1       33           3      READY      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    15    0         -1       51           7    WAITING       -
    15    1         -1       17           3    WAITING       -
    15    2         -1       60           0   FINISHED       -
    15    3         -1       23           0   FINISHED       -
    15    4          5       25           8      READY      23
    15    5          8       40           4    RUNNING       8
    15    6         -1       22           0   FINISHED       -
    15    7         -1       47           0   FINISHED       -
    15    8         -1       43           0   FINISHED       -
    15    9          2       17           3      READY       7
    15   10         -1       49           4    WAITING       -
    15   11         -1       16           0   FINISHED       -
    15   12          4       56           3      READY       8
    15   13         -1       64           0   FINISHED       -
    15   14          6       21           2    RUNNING      11
    15   15          9       30           2    RUNNING       2
    15   16          7       55           6      READY       9
    15   17          0       32           4      READY       0
    15   18         -1       32           0   FINISHED       -
    15   19          1       33           3      READY      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    16    0         -1       51           7    WAITING       -
    16    1         -1       17           3    WAITING       -
    16    2         -1       60           0   FINISHED       -
    16    3         -1       23           0   FINISHED       -
    16    4          5       25           8      READY      23
    16    5          8       40           4      READY       8
    16    6         -1       22           0   FINISHED       -
    16    7         -1       47           0   FINISHED       -
    16    8         -1       43           0   FINISHED       -
    16    9          2       17           2    RUNNING       7
    16   10         -1       49           4    WAITING       -
    16   11         -1       16           0   FINISHED       -
    16   12          4       56           2    RUNNING       8
    16   13         -1       64           0   FINISHED       -
    16   14          6       21           2      READY      11
    16   15          9       30           2      READY       2
    16   16          7       55           6      READY       9
    16   17          0       32           3    RUNNING       0
    16   18         -1       32           0   FINISHED       -
    16   19          1       33           2    RUNNING      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    17    0         -1       51           7    WAITING       -
    17    1         -1       17           3    WAITING       -
    17    2         -1       60           0   FINISHED       -
    17    3         -1       23           0   FINISHED       -
    17    4          5       25           7    RUNNING      23
    17    5          8       40           4      READY       8
    17    6         -1       22           0   FINISHED       -
    17    7         -1       47           0   FINISHED       -
    17    8         -1       43           0   FINISHED       -
    17    9          2       17           2      READY       7
    17   10         -1       49           4    WAITING       -
    17   11         -1       16           0   FINISHED       -
    17   12          4       56           1    RUNNING       8
    17   13         -1       64           0   FINISHED       -
    17   14          6       21           1    RUNNING      11
    17   15          9       30           2      READY       2
    17   16          7       55           5    RUNNING       9
    17   17          0       32           3      READY       0
    17   18         -1       32           0   FINISHED       -
    17   19          1       33           2      READY      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    18    0         -1       51           7    WAITING       -
    18    1         -1       17           3    WAITING       -
    18    2         -1       60           0   FINISHED       -
    18    3         -1       23           0   FINISHED       -
    18    4          5       25           7      READY      23
    18    5          8       40           3    RUNNING       8
    18    6         -1       22           0   FINISHED       -
    18    7         -1       47           0   FINISHED       -
    18    8         -1       43           0   FINISHED       -
    18    9          2       17           2      READY       7
    18   10         -1       49           4    WAITING       -
    18   11         -1       16           0   FINISHED       -
    18   12          4       56           1      READY       8
    18   13         -1       64           0   FINISHED       -
    18   14          6       21           1      READY      11
    18   15          9       30           1    RUNNING       2
    18   16          7       55           5      READY       9
    18   17          0       32           2    RUNNING       0
    18   18         -1       32           0   FINISHED       -
    18   19          1       33           1    RUNNING      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    19    0          4       51           7      READY      13
    19    1          6       17           3      READY      15
    19    2         -1       60           0   FINISHED       -
    19    3         -1       23           0   FINISHED       -
    19    4          5       25           6    RUNNING      23
    19    5          8       40           3      READY       8
    19    6         -1       22           0   FINISHED       -
    19    7         -1       47           0   FINISHED       -
    19    8         -1       43           0   FINISHED       -
    19    9          2       17           1    RUNNING       7
    19   10         -1       49           4    WAITING       -
    19   11         -1       16           0   FINISHED       -
    19   12         -1       56           0   FINISHED       -
    19   13         -1       64           0   FINISHED       -
    19   14         -1       21           0   FINISHED       -
    19   15          9       30           1      READY       2
    19   16          7       55           5      READY       9
    19   17          0       32           2      READY       0
    19   18         -1       32           0   FINISHED       -
    19   19          1       33           1      READY      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    20    0          4       51           7      READY      13
    20    1          6       17           2    RUNNING      15
    20    2         -1       60           0   FINISHED       -
    20    3         -1       23           0   FINISHED       -
    20    4          5       25           6      READY      23
    20    5          8       40           2    RUNNING       8
    20    6         -1       22           0   FINISHED       -
    20    7         -1       47           0   FINISHED       -
    20    8         -1       43           0   FINISHED       -
    20    9          2       17           1      READY       7
    20   10         -1       49           4    WAITING       -
    20   11         -1       16           0   FINISHED       -
    20   12         -1       56           0   FINISHED       -
    20   13         -1       64           0   FINISHED       -
    20   14         -1       21           0   FINISHED       -
    20   15         -1       30           0   FINISHED       -
    20   16          7       55           4    RUNNING       9
    20   17          0       32           2      READY       0
    20   18         -1       32           0   FINISHED       -
    20   19          1       33           1      READY      15

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    21    0          4       51           6    RUNNING      13
    21    1          6       17           2      READY      15
    21    2         -1       60           0   FINISHED       -
    21    3         -1       23           0   FINISHED       -
    21    4          5       25           6      READY      23
    21    5          8       40           2      READY       8
    21    6         -1       22           0   FINISHED       -
    21    7         -1       47           0   FINISHED       -
    21    8         -1       43           0   FINISHED       -
    21    9         -1       17           0   FINISHED       -
    21   10         -1       49           4    WAITING       -
    21   11         -1       16           0   FINISHED       -
    21   12         -1       56           0   FINISHED       -
    21   13         -1       64           0   FINISHED       -
    21   14         -1       21           0   FINISHED       -
    21   15         -1       30           0   FINISHED       -
    21   16          7       55           4      READY       9
    21   17          0       32           1    RUNNING       0
    21   18         -1       32           0   FINISHED       -
    21   19         -1       33           0   FINISHED       -

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    22    0          4       51           5    RUNNING      13
    22    1          6       17           1    RUNNING      15
    22    2         -1       60           0   FINISHED       -
    22    3         -1       23           0   FINISHED       -
    22    4          5       25           5    RUNNING      23
    22    5          8       40           2      READY       8
    22    6         -1       22           0   FINISHED       -
    22    7         -1       47           0   FINISHED       -
    22    8         -1       43           0   FINISHED       -
    22    9         -1       17           0   FINISHED       -
    22   10         -1       49           4    WAITING       -
    22   11         -1       16           0   FINISHED       -
